company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,sched_dep_dt,actual_dep_dt,delay_min,turn_gap_min,difficulty_score,difficulty_classification,daily_rank
UA,307,2025-08-14,ORD,COS,2025-08-14T09:15:00Z,2025-08-14T11:08:00Z,2025-08-14T09:11:00Z,2025-08-14T10:44:00Z,179,B737-MAX9,Mainline,94,85,56,2025-08-14 09:15:00+00:00,2025-08-14 09:11:00+00:00,-4.0,38,43.1793404516689,Easy,455
UA,1538,2025-08-08,ORD,SAV,2025-08-08T11:05:00Z,2025-08-08T14:34:00Z,2025-08-08T10:59:00Z,2025-08-08T14:11:00Z,126,B737-700,Mainline,100,108,43,2025-08-08 11:05:00+00:00,2025-08-08 10:59:00+00:00,-6.0,57,44.70842189056016,Easy,431
UA,1006,2025-08-02,ORD,LGA,2025-08-02T18:00:00Z,2025-08-02T21:20:00Z,2025-08-02T19:00:00Z,2025-08-02T22:10:00Z,166,B737-800,Mainline,63,55,51,2025-08-02 18:00:00+00:00,2025-08-02 19:00:00+00:00,60.0,12,53.88669239977774,Medium,177
G7,4395,2025-08-14,ORD,TVC,2025-08-14T18:15:00Z,2025-08-14T20:38:00Z,2025-08-14T19:41:00Z,2025-08-14T21:46:00Z,50,CRJ-550,Express,132,124,29,2025-08-14 18:15:00+00:00,2025-08-14 19:41:00+00:00,86.0,103,48.212402680051134,Easy,349
UA,1538,2025-08-06,ORD,SAV,2025-08-06T11:05:00Z,2025-08-06T14:34:00Z,2025-08-06T10:57:00Z,2025-08-06T14:09:00Z,126,B737-700,Mainline,95,81,43,2025-08-06 11:05:00+00:00,2025-08-06 10:57:00+00:00,-8.0,52,46.42842540176789,Easy,339
UA,2138,2025-08-08,ORD,LGA,2025-08-08T14:05:00Z,2025-08-08T17:27:00Z,2025-08-08T14:01:00Z,2025-08-08T17:13:00Z,166,B737-800,Mainline,62,87,51,2025-08-08 14:05:00+00:00,2025-08-08 14:01:00+00:00,-4.0,11,47.74892617333607,Easy,368
G7,4481,2025-08-15,ORD,GRR,2025-08-15T07:00:00Z,2025-08-15T09:07:00Z,2025-08-15T06:56:00Z,2025-08-15T09:01:00Z,50,CRJ-550,Express,644,632,29,2025-08-15 07:00:00+00:00,2025-08-15 06:56:00+00:00,-4.0,615,25.565436874214576,Easy,510
OO,5108,2025-08-14,ORD,SLN,2025-08-14T16:45:00Z,2025-08-14T18:50:00Z,2025-08-14T16:39:00Z,2025-08-14T18:33:00Z,50,CRJ-200,Express,85,82,29,2025-08-14 16:45:00+00:00,2025-08-14 16:39:00+00:00,-6.0,56,44.87213149706569,Easy,422
YX,3568,2025-08-15,ORD,YYZ,2025-08-15T10:50:00Z,2025-08-15T13:42:00Z,2025-08-15T10:48:00Z,2025-08-15T13:40:00Z,76,ERJ-175,Express,75,64,42,2025-08-15 10:50:00+00:00,2025-08-15 10:48:00+00:00,-2.0,33,47.291688504213965,Easy,387
OO,4739,2025-08-03,ORD,GRB,2025-08-03T15:35:00Z,2025-08-03T16:48:00Z,2025-08-03T15:34:00Z,2025-08-03T16:40:00Z,50,CRJ-200,Express,69,63,29,2025-08-03 15:35:00+00:00,2025-08-03 15:34:00+00:00,-1.0,40,52.16039133046008,Medium,175
UA,664,2025-08-02,ORD,LGA,2025-08-02T16:00:00Z,2025-08-02T19:20:00Z,2025-08-02T16:01:00Z,2025-08-02T19:10:00Z,166,B737-800,Mainline,400,59,51,2025-08-02 16:00:00+00:00,2025-08-02 16:01:00+00:00,1.0,349,23.67201388428845,Easy,484
OO,5517,2025-08-04,ORD,PVD,2025-08-04T18:15:00Z,2025-08-04T21:54:00Z,2025-08-04T18:14:00Z,2025-08-04T21:40:00Z,76,ERJ-175,Express,87,86,34,2025-08-04 18:15:00+00:00,2025-08-04 18:14:00+00:00,-1.0,53,49.82544680688639,Easy,243
UA,1156,2025-08-08,ORD,MSY,2025-08-08T19:55:00Z,2025-08-08T22:25:00Z,2025-08-08T20:14:00Z,2025-08-08T22:35:00Z,179,B737-900,Mainline,62,61,56,2025-08-08 19:55:00+00:00,2025-08-08 20:14:00+00:00,19.0,6,55.841573505400575,Difficult,59
G7,4387,2025-08-06,ORD,CID,2025-08-06T09:20:00Z,2025-08-06T10:40:00Z,2025-08-06T09:05:00Z,2025-08-06T10:30:00Z,50,CRJ-550,Express,75,73,29,2025-08-06 09:20:00+00:00,2025-08-06 09:05:00+00:00,-15.0,46,55.79744589310075,Difficult,53
UA,1361,2025-08-11,ORD,STL,2025-08-11T21:20:00Z,2025-08-11T22:45:00Z,2025-08-11T21:40:00Z,2025-08-11T23:34:00Z,126,A319-100,Mainline,60,52,43,2025-08-11 21:20:00+00:00,2025-08-11 21:40:00+00:00,20.0,17,56.983625397991744,Difficult,27
UA,2323,2025-08-03,ORD,MCO,2025-08-03T09:15:00Z,2025-08-03T13:10:00Z,2025-08-03T09:09:00Z,2025-08-03T12:48:00Z,200,A321-2NX,Mainline,97,99,62,2025-08-03 09:15:00+00:00,2025-08-03 09:09:00+00:00,-6.0,35,46.568595861541354,Easy,392
OO,5229,2025-08-13,ORD,ILM,2025-08-13T11:59:00Z,2025-08-13T15:24:00Z,2025-08-13T11:54:00Z,2025-08-13T14:59:00Z,76,ERJ-175,Express,47,39,34,2025-08-13 11:59:00+00:00,2025-08-13 11:54:00+00:00,-5.0,13,45.930545327493256,Easy,362
YX,3700,2025-08-02,ORD,BNA,2025-08-02T07:25:00Z,2025-08-02T09:13:00Z,2025-08-02T07:40:00Z,2025-08-02T09:15:00Z,76,ERJ-175,Express,5,33,34,2025-08-02 07:25:00+00:00,2025-08-02 07:40:00+00:00,15.0,-29,55.93133516895602,Difficult,96
G7,4610,2025-08-15,ORD,XNA,2025-08-15T12:41:00Z,2025-08-15T14:35:00Z,2025-08-15T12:38:00Z,2025-08-15T14:28:00Z,50,CRJ-550,Express,59,71,29,2025-08-15 12:41:00+00:00,2025-08-15 12:38:00+00:00,-3.0,30,50.806182726629814,Easy,250
UA,1414,2025-08-13,ORD,BOI,2025-08-13T08:45:00Z,2025-08-13T11:43:00Z,2025-08-13T08:40:00Z,2025-08-13T11:09:00Z,150,A320-200,Mainline,59,78,46,2025-08-13 08:45:00+00:00,2025-08-13 08:40:00+00:00,-5.0,13,53.25350197151847,Medium,127
UA,1156,2025-08-13,ORD,MSY,2025-08-13T19:55:00Z,2025-08-13T22:25:00Z,2025-08-13T19:56:00Z,2025-08-13T22:17:00Z,179,B737-MAX9,Mainline,73,62,56,2025-08-13 19:55:00+00:00,2025-08-13 19:56:00+00:00,1.0,17,42.334401102624206,Easy,414
UA,247,2025-08-13,ORD,OMA,2025-08-13T12:45:00Z,2025-08-13T14:22:00Z,2025-08-13T12:38:00Z,2025-08-13T14:07:00Z,150,A320-200,Mainline,69,86,46,2025-08-13 12:45:00+00:00,2025-08-13 12:38:00+00:00,-7.0,23,48.1089885034808,Easy,321
UA,2378,2025-08-08,ORD,LAX,2025-08-08T21:42:00Z,2025-08-09T00:15:00Z,2025-08-08T21:50:00Z,2025-08-08T23:59:00Z,200,A321-2NX,Mainline,77,94,62,2025-08-08 21:42:00+00:00,2025-08-08 21:50:00+00:00,8.0,15,56.897602359204214,Difficult,34
OO,5930,2025-08-14,ORD,FAR,2025-08-14T13:20:00Z,2025-08-14T15:29:00Z,2025-08-14T15:00:00Z,2025-08-14T16:49:00Z,50,CRJ-200,Express,205,91,29,2025-08-14 13:20:00+00:00,2025-08-14 15:00:00+00:00,100.0,176,37.78236850746302,Easy,483
YX,3628,2025-08-11,ORD,IND,2025-08-11T17:50:00Z,2025-08-11T20:03:00Z,2025-08-11T17:45:00Z,2025-08-11T19:54:00Z,76,ERJ-175,Express,45,38,34,2025-08-11 17:50:00+00:00,2025-08-11 17:45:00+00:00,-5.0,11,50.39256116279988,Easy,250
OO,5564,2025-08-01,ORD,SBN,2025-08-01T14:20:00Z,2025-08-01T16:18:00Z,2025-08-01T14:29:00Z,2025-08-01T16:29:00Z,50,CRJ-550,Express,57,87,29,2025-08-01 14:20:00+00:00,2025-08-01 14:29:00+00:00,9.0,28,56.64859386605826,Difficult,54
UA,2361,2025-08-13,ORD,LAX,2025-08-13T07:10:00Z,2025-08-13T09:40:00Z,2025-08-13T07:07:00Z,2025-08-13T09:15:00Z,234,B757-300,Mainline,662,498,66,2025-08-13 07:10:00+00:00,2025-08-13 07:07:00+00:00,-3.0,596,15.619757007224038,Easy,519
YX,3520,2025-08-05,ORD,CVG,2025-08-05T21:16:00Z,2025-08-05T23:46:00Z,2025-08-05T21:16:00Z,2025-08-05T23:30:00Z,76,ERJ-175,Express,162,166,34,2025-08-05 21:16:00+00:00,2025-08-05 21:16:00+00:00,0.0,128,37.177744439336784,Easy,450
G7,4546,2025-08-06,ORD,AVP,2025-08-06T18:35:00Z,2025-08-06T21:43:00Z,2025-08-06T19:14:00Z,2025-08-06T22:06:00Z,50,CRJ-550,Express,-5,23,29,2025-08-06 18:35:00+00:00,2025-08-06 19:14:00+00:00,39.0,-34,57.701232109446124,Difficult,24
OO,5362,2025-08-14,ORD,MKE,2025-08-14T21:40:00Z,2025-08-14T22:45:00Z,2025-08-14T21:35:00Z,2025-08-14T22:20:00Z,50,CRJ-200,Express,90,66,29,2025-08-14 21:40:00+00:00,2025-08-14 21:35:00+00:00,-5.0,61,53.41278163815777,Medium,140
OO,5251,2025-08-03,ORD,ASE,2025-08-03T19:35:00Z,2025-08-03T21:44:00Z,2025-08-03T19:43:00Z,2025-08-03T22:00:00Z,70,ERJ-175,Express,68,91,34,2025-08-03 19:35:00+00:00,2025-08-03 19:43:00+00:00,8.0,34,47.81528886243264,Easy,360
G7,4429,2025-08-07,ORD,FSD,2025-08-07T15:52:00Z,2025-08-07T17:44:00Z,2025-08-07T15:51:00Z,2025-08-07T17:36:00Z,50,CRJ-550,Express,57,78,29,2025-08-07 15:52:00+00:00,2025-08-07 15:51:00+00:00,-1.0,28,52.93194117127634,Medium,131
UA,1899,2025-08-01,ORD,YYC,2025-08-01T20:05:00Z,2025-08-01T22:53:00Z,2025-08-01T21:19:00Z,2025-08-01T23:47:00Z,126,A319-100,Mainline,70,102,52,2025-08-01 20:05:00+00:00,2025-08-01 21:19:00+00:00,74.0,18,53.22248801736619,Medium,175
UA,2137,2025-08-03,ORD,SLC,2025-08-03T09:02:00Z,2025-08-03T11:40:00Z,2025-08-03T09:00:00Z,2025-08-03T11:40:00Z,166,B737-800,Mainline,68,76,51,2025-08-03 09:02:00+00:00,2025-08-03 09:00:00+00:00,-2.0,17,52.24185015924198,Medium,173
UA,1576,2025-08-10,ORD,LGA,2025-08-10T20:00:00Z,2025-08-10T23:22:00Z,2025-08-10T20:00:00Z,2025-08-10T23:34:00Z,166,B737-800,Mainline,80,73,51,2025-08-10 20:00:00+00:00,2025-08-10 20:00:00+00:00,0.0,29,44.86122451007861,Easy,422
UA,2004,2025-08-11,ORD,SYR,2025-08-11T13:45:00Z,2025-08-11T16:44:00Z,2025-08-11T13:53:00Z,2025-08-11T16:39:00Z,150,A320-200,Mainline,84,102,46,2025-08-11 13:45:00+00:00,2025-08-11 13:53:00+00:00,8.0,38,55.30482225764444,Difficult,58
UA,343,2025-08-02,ORD,SFO,2025-08-02T10:53:00Z,2025-08-02T13:40:00Z,2025-08-02T10:52:00Z,2025-08-02T13:23:00Z,200,A321-2NX,Mainline,1079,1115,62,2025-08-02 10:53:00+00:00,2025-08-02 10:52:00+00:00,-1.0,1017,21.611696295775065,Easy,498
UA,2370,2025-08-11,ORD,BOS,2025-08-11T14:28:00Z,2025-08-11T18:06:00Z,2025-08-11T14:28:00Z,2025-08-11T18:06:00Z,179,B737-900,Mainline,79,69,56,2025-08-11 14:28:00+00:00,2025-08-11 14:28:00+00:00,0.0,23,51.84705135900444,Medium,191
UA,2189,2025-08-01,ORD,LGA,2025-08-01T13:00:00Z,2025-08-01T16:20:00Z,2025-08-01T12:56:00Z,2025-08-01T15:56:00Z,166,B737-MAX8,Mainline,96,94,60,2025-08-01 13:00:00+00:00,2025-08-01 12:56:00+00:00,-4.0,36,42.675671072215046,Easy,463
UA,481,2025-08-12,ORD,RNO,2025-08-12T19:52:00Z,2025-08-12T22:19:00Z,2025-08-12T22:01:00Z,2025-08-13T00:27:00Z,126,B737-700,Mainline,95,51,43,2025-08-12 19:52:00+00:00,2025-08-12 22:01:00+00:00,129.0,52,46.434139811554324,Easy,265
UA,1209,2025-08-15,ORD,EWR,2025-08-15T21:25:00Z,2025-08-16T00:46:00Z,2025-08-15T21:30:00Z,2025-08-16T00:46:00Z,179,B737-900,Mainline,67,55,56,2025-08-15 21:25:00+00:00,2025-08-15 21:30:00+00:00,5.0,11,54.43473440922796,Medium,112
UA,2177,2025-08-15,ORD,MSN,2025-08-15T14:00:00Z,2025-08-15T15:03:00Z,2025-08-15T14:30:00Z,2025-08-15T15:36:00Z,126,A319-100,Mainline,9,42,43,2025-08-15 14:00:00+00:00,2025-08-15 14:30:00+00:00,30.0,-34,62.01756245798815,Difficult,8
UA,909,2025-08-13,ORD,AMS,2025-08-13T18:15:00Z,2025-08-14T09:20:00Z,2025-08-13T18:49:00Z,2025-08-14T09:24:00Z,243,B787-8,Mainline,280,319,95,2025-08-13 18:15:00+00:00,2025-08-13 18:49:00+00:00,34.0,185,39.68855471532111,Easy,437
UA,1584,2025-08-05,ORD,LAX,2025-08-05T10:50:00Z,2025-08-05T13:23:00Z,2025-08-05T10:50:00Z,2025-08-05T13:03:00Z,200,A321-2NX,Mainline,711,739,62,2025-08-05 10:50:00+00:00,2025-08-05 10:50:00+00:00,0.0,649,19.01986237273652,Easy,514
YX,3690,2025-08-13,ORD,IND,2025-08-13T15:40:00Z,2025-08-13T17:53:00Z,2025-08-13T15:31:00Z,2025-08-13T17:36:00Z,76,ERJ-175,Express,57,45,34,2025-08-13 15:40:00+00:00,2025-08-13 15:31:00+00:00,-9.0,23,51.12631833460258,Easy,204
YX,3542,2025-08-15,ORD,YUL,2025-08-15T17:58:00Z,2025-08-15T21:29:00Z,2025-08-15T17:53:00Z,2025-08-15T21:27:00Z,76,ERJ-175,Express,53,71,42,2025-08-15 17:58:00+00:00,2025-08-15 17:53:00+00:00,-5.0,11,53.841051335904666,Medium,130
OO,4791,2025-08-14,ORD,SBN,2025-08-14T10:35:00Z,2025-08-14T12:33:00Z,2025-08-14T10:27:00Z,2025-08-14T12:20:00Z,50,CRJ-550,Express,56,32,29,2025-08-14 10:35:00+00:00,2025-08-14 10:27:00+00:00,-8.0,27,51.544772242387594,Medium,213
UA,2011,2025-08-11,ORD,YVR,2025-08-11T08:48:00Z,2025-08-11T11:33:00Z,2025-08-11T09:00:00Z,2025-08-11T11:29:00Z,150,A320-200,Mainline,67,103,60,2025-08-11 08:48:00+00:00,2025-08-11 09:00:00+00:00,12.0,7,54.15068996036639,Medium,86
UA,1946,2025-08-15,ORD,LGA,2025-08-15T15:00:00Z,2025-08-15T18:20:00Z,2025-08-15T14:59:00Z,2025-08-15T18:15:00Z,166,B737-MAX8,Mainline,105,114,51,2025-08-15 15:00:00+00:00,2025-08-15 14:59:00+00:00,-1.0,54,44.98841637953836,Easy,429
OO,5292,2025-08-02,ORD,MTY,2025-08-02T08:45:00Z,2025-08-02T11:41:00Z,2025-08-02T08:41:00Z,2025-08-02T11:46:00Z,76,ERJ-175,Express,756,749,42,2025-08-02 08:45:00+00:00,2025-08-02 08:41:00+00:00,-4.0,714,20.03938356351367,Easy,507
UA,845,2025-08-12,ORD,GRU,2025-08-12T21:20:00Z,2025-08-13T09:30:00Z,2025-08-12T23:15:00Z,2025-08-13T11:30:00Z,318,B787-10,Mainline,300,379,155,2025-08-12 21:20:00+00:00,2025-08-12 23:15:00+00:00,115.0,145,46.416042806836565,Easy,266
YX,3525,2025-08-13,ORD,YYZ,2025-08-13T16:43:00Z,2025-08-13T19:37:00Z,2025-08-13T16:41:00Z,2025-08-13T19:31:00Z,76,ERJ-175,Express,58,78,42,2025-08-13 16:43:00+00:00,2025-08-13 16:41:00+00:00,-2.0,16,52.15714073981882,Medium,165
UA,2677,2025-08-06,ORD,IAD,2025-08-06T17:56:00Z,2025-08-06T20:55:00Z,2025-08-06T21:10:00Z,2025-08-07T00:23:00Z,176,B757-200,Mainline,231,412,122,2025-08-06 17:56:00+00:00,2025-08-06 21:10:00+00:00,194.0,109,38.591791860223715,Easy,420
UA,767,2025-08-13,ORD,DEN,2025-08-13T21:32:00Z,2025-08-13T23:22:00Z,2025-08-13T22:10:00Z,2025-08-13T23:42:00Z,200,A321-2NX,Mainline,22,64,62,2025-08-13 21:32:00+00:00,2025-08-13 22:10:00+00:00,38.0,-40,57.948362203118585,Difficult,24
OO,5026,2025-08-13,ORD,JST,2025-08-13T21:05:00Z,2025-08-13T23:55:00Z,2025-08-13T21:18:00Z,2025-08-14T00:08:00Z,50,CRJ-200,Express,40,69,29,2025-08-13 21:05:00+00:00,2025-08-13 21:18:00+00:00,13.0,11,50.45216100806008,Easy,234
OO,5493,2025-08-05,ORD,ATW,2025-08-05T11:05:00Z,2025-08-05T12:18:00Z,2025-08-05T11:01:00Z,2025-08-05T12:08:00Z,50,CRJ-200,Express,106,116,29,2025-08-05 11:05:00+00:00,2025-08-05 11:01:00+00:00,-4.0,77,46.58171238373054,Easy,349
G7,4519,2025-08-06,ORD,SCE,2025-08-06T18:20:00Z,2025-08-06T21:24:00Z,2025-08-06T18:08:00Z,2025-08-06T21:04:00Z,50,CRJ-550,Express,70,62,29,2025-08-06 18:20:00+00:00,2025-08-06 18:08:00+00:00,-12.0,41,49.115636976298106,Easy,249
OO,4791,2025-08-04,ORD,SBN,2025-08-04T10:35:00Z,2025-08-04T12:33:00Z,2025-08-04T10:30:00Z,2025-08-04T12:20:00Z,50,CRJ-550,Express,56,60,29,2025-08-04 10:35:00+00:00,2025-08-04 10:30:00+00:00,-5.0,27,48.50605577338734,Easy,296
UA,592,2025-08-03,ORD,JAC,2025-08-03T16:50:00Z,2025-08-03T19:05:00Z,2025-08-03T16:59:00Z,2025-08-03T18:57:00Z,126,B737-700,Mainline,57,89,43,2025-08-03 16:50:00+00:00,2025-08-03 16:59:00+00:00,9.0,14,54.99975699795356,Medium,74
G7,4590,2025-08-01,ORD,MDT,2025-08-01T16:45:00Z,2025-08-01T19:52:00Z,2025-08-01T16:36:00Z,2025-08-01T19:23:00Z,50,CRJ-550,Express,42,43,29,2025-08-01 16:45:00+00:00,2025-08-01 16:36:00+00:00,-9.0,13,55.01786143924318,Medium,86
YX,3464,2025-08-13,ORD,PIT,2025-08-13T21:15:00Z,2025-08-13T23:58:00Z,2025-08-13T21:30:00Z,2025-08-13T23:51:00Z,76,ERJ-175,Express,142,48,39,2025-08-13 21:15:00+00:00,2025-08-13 21:30:00+00:00,15.0,103,43.07670305614225,Easy,408
OO,5963,2025-08-14,ORD,BDL,2025-08-14T14:09:00Z,2025-08-14T17:36:00Z,2025-08-14T14:22:00Z,2025-08-14T17:59:00Z,70,ERJ-175,Express,59,74,34,2025-08-14 14:09:00+00:00,2025-08-14 14:22:00+00:00,13.0,25,52.41724945731121,Medium,179
OO,5447,2025-08-10,ORD,PVD,2025-08-10T11:05:00Z,2025-08-10T14:39:00Z,2025-08-10T10:59:00Z,2025-08-10T14:42:00Z,70,ERJ-175,Express,71,33,34,2025-08-10 11:05:00+00:00,2025-08-10 10:59:00+00:00,-6.0,37,50.255326439640726,Easy,250
UA,1495,2025-08-05,ORD,TVC,2025-08-05T19:52:00Z,2025-08-05T22:12:00Z,2025-08-05T19:58:00Z,2025-08-05T22:25:00Z,150,A320-200,Mainline,57,60,46,2025-08-05 19:52:00+00:00,2025-08-05 19:58:00+00:00,6.0,11,42.53092160924391,Easy,407
UA,2100,2025-08-08,ORD,SLC,2025-08-08T13:11:00Z,2025-08-08T15:40:00Z,2025-08-08T13:11:00Z,2025-08-08T15:36:00Z,166,B737-800,Mainline,68,100,51,2025-08-08 13:11:00+00:00,2025-08-08 13:11:00+00:00,0.0,17,53.355678240642845,Medium,131
UA,2640,2025-08-05,ORD,DCA,2025-08-05T15:00:00Z,2025-08-05T18:02:00Z,2025-08-05T14:59:00Z,2025-08-05T17:48:00Z,126,B737-700,Mainline,119,124,51,2025-08-05 15:00:00+00:00,2025-08-05 14:59:00+00:00,-1.0,68,36.0717240987814,Easy,453
UA,224,2025-08-01,ORD,BZN,2025-08-01T09:04:00Z,2025-08-01T11:31:00Z,2025-08-01T09:10:00Z,2025-08-01T11:26:00Z,166,B737-800,Mainline,206,84,60,2025-08-01 09:04:00+00:00,2025-08-01 09:10:00+00:00,6.0,146,40.16707720322636,Easy,469
OO,5392,2025-08-15,ORD,OKC,2025-08-15T19:36:00Z,2025-08-15T22:03:00Z,2025-08-15T19:40:00Z,2025-08-15T21:36:00Z,76,ERJ-175,Express,165,130,39,2025-08-15 19:36:00+00:00,2025-08-15 19:40:00+00:00,4.0,126,40.46173983725445,Easy,476
OO,5984,2025-08-05,ORD,BIL,2025-08-05T09:20:00Z,2025-08-05T11:36:00Z,2025-08-05T09:30:00Z,2025-08-05T11:29:00Z,76,ERJ-175,Express,78,28,34,2025-08-05 09:20:00+00:00,2025-08-05 09:30:00+00:00,10.0,44,54.88269228169239,Medium,81
OO,5737,2025-08-13,ORD,OMA,2025-08-13T21:12:00Z,2025-08-13T23:00:00Z,2025-08-13T21:19:00Z,2025-08-13T22:51:00Z,76,ERJ-175,Express,47,74,34,2025-08-13 21:12:00+00:00,2025-08-13 21:19:00+00:00,7.0,13,50.9492883260438,Easy,214
G7,4552,2025-08-03,ORD,DAY,2025-08-03T21:30:00Z,2025-08-03T23:58:00Z,2025-08-03T21:23:00Z,2025-08-03T23:27:00Z,50,CRJ-550,Express,74,57,29,2025-08-03 21:30:00+00:00,2025-08-03 21:23:00+00:00,-7.0,45,53.888573632972715,Medium,110
G7,4476,2025-08-07,ORD,CAE,2025-08-07T13:55:00Z,2025-08-07T17:00:00Z,2025-08-07T15:00:00Z,2025-08-07T17:59:00Z,50,CRJ-550,Express,110,209,29,2025-08-07 13:55:00+00:00,2025-08-07 15:00:00+00:00,65.0,81,42.55480340813266,Easy,437
G7,4482,2025-08-02,ORD,TUL,2025-08-02T15:35:00Z,2025-08-02T17:35:00Z,2025-08-02T15:34:00Z,2025-08-02T17:22:00Z,50,CRJ-550,Express,40,51,29,2025-08-02 15:35:00+00:00,2025-08-02 15:34:00+00:00,-1.0,11,57.20891315147224,Difficult,56
OO,5557,2025-08-12,ORD,OKC,2025-08-12T09:15:00Z,2025-08-12T11:54:00Z,2025-08-12T09:31:00Z,2025-08-12T11:55:00Z,76,ERJ-175,Express,73,63,34,2025-08-12 09:15:00+00:00,2025-08-12 09:31:00+00:00,16.0,39,50.906190025225925,Easy,133
UA,2683,2025-08-11,ORD,SAN,2025-08-11T14:06:00Z,2025-08-11T16:28:00Z,2025-08-11T14:02:00Z,2025-08-11T16:11:00Z,166,B737-800,Mainline,95,114,51,2025-08-11 14:06:00+00:00,2025-08-11 14:02:00+00:00,-4.0,44,46.328933544510356,Easy,388
OO,5557,2025-08-13,ORD,OKC,2025-08-13T09:15:00Z,2025-08-13T11:54:00Z,2025-08-13T09:12:00Z,2025-08-13T11:34:00Z,76,ERJ-175,Express,73,87,34,2025-08-13 09:15:00+00:00,2025-08-13 09:12:00+00:00,-3.0,39,54.173363050661514,Medium,106
YX,3716,2025-08-13,ORD,CMH,2025-08-13T18:20:00Z,2025-08-13T20:57:00Z,2025-08-13T18:27:00Z,2025-08-13T20:43:00Z,76,ERJ-175,Express,47,53,34,2025-08-13 18:20:00+00:00,2025-08-13 18:27:00+00:00,7.0,13,53.41906087246882,Medium,123
UA,1616,2025-08-04,ORD,GRR,2025-08-04T18:20:00Z,2025-08-04T20:35:00Z,2025-08-04T18:21:00Z,2025-08-04T20:28:00Z,179,B737-900,Mainline,88,85,56,2025-08-04 18:20:00+00:00,2025-08-04 18:21:00+00:00,1.0,32,55.148685148755526,Difficult,55
